bam,prop. sites covered >5x
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_CTAC.trim.bt2.bam,0.475772317
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_ACCA.trim.bt2.bam,0.476334967
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_CTAC.trim.bt2.bam,0.476894623
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_CATC.trim.bt2.bam,0.477245988
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_CTAC.trim.bt2.bam,0.479146191
Pool_15_Jaskiel_Lane2_S15_L004_R1_001_TGTC.trim.bt2.bam,0.479922534
Pool_22_S6_L001_R1_001_CATC.trim.bt2.bam,0.48088666
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_AGTG.trim.bt2.bam,0.489680349
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_AGTG.trim.bt2.bam,0.493800511
Pool_23_S7_L001_R1_001_CATC.trim.bt2.bam,0.494954867
Pool_14_S14_L002_R1_001_CATC.trim.bt2.bam,0.49588197
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_CATC.trim.bt2.bam,0.497863322
Pool_23_S7_L001_R1_001_GCTT.trim.bt2.bam,0.499552676
Pool_8_S8_L001_R1_001_GCTT.trim.bt2.bam,0.502707282
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_AGTG.trim.bt2.bam,0.504545847
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_GCTT.trim.bt2.bam,0.508059147
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_TCAC.trim.bt2.bam,0.508632002
Pool_22_S6_L001_R1_001_GCTT.trim.bt2.bam,0.510870032
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_GTGA.trim.bt2.bam,0.51106242
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_CATC.trim.bt2.bam,0.514611639
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_TCAG.trim.bt2.bam,0.516030804
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_GACT.trim.bt2.bam,0.51792286
Pool_15_S15_L002_R1_001_GCTT.trim.bt2.bam,0.522390769
Pool_8_S8_L001_R1_001_TCAC.trim.bt2.bam,0.523210661
Pool_4_Jaskiel_Lane1_S4_L003_R1_001_CTAC.trim.bt2.bam,0.523332933
Pool_18_S2_L001_R1_001_TGGT.trim.bt2.bam,0.5261721
