,2015,2016,2017,2018,2020,2022
2015,N/A,N/A,N/A,N/A,N/A,N/A
2016,0.063,N/A,N/A,N/A,N/A,N/A
2017,0.048,0.059,N/A,N/A,N/A,N/A
2018,0.026,0.031,0.048,N/A,N/A,N/A
2020,0.023,0.031,0.054,0.014,N/A,N/A
2022,0.069,0.047,0.051,0.027,0.042,N/A
